ticker,name,category,date,close,volume,dollar_volume,flow_5d,flow_20d,vol_ratio,price_5d,price_20d,flow_score,flow_status
SPY,S&P 500,Broad Market,2026-03-19 00:00:00-04:00,659.8,110067392,72622.46,-77.955,-289.383,1.01,-0.94,-3.61,40,Outflow
QQQ,NASDAQ 100,Broad Market,2026-03-19 00:00:00-04:00,593.02,71900023,42638.15,-55.635,-140.589,0.81,-0.71,-1.73,40,Outflow
IWM,Russell 2000,Broad Market,2026-03-19 00:00:00-04:00,247.63,58572670,14504.35,12.88,-18.264,0.96,0.27,-6.25,60,Inflow
DIA,Dow Jones,Broad Market,2026-03-19 00:00:00-04:00,461.06,7865436,3626.44,-4.159,-19.215,0.94,-1.37,-6.62,35,Outflow
XLK,Technology,Sector,2026-03-19 00:00:00-04:00,138.43,17960609,2486.29,2.582,1.458,0.79,0.43,-1.27,45,Neutral
XLF,Financials,Sector,2026-03-19 00:00:00-04:00,48.99,56221178,2754.28,7.252,-16.254,0.75,0.33,-6.06,65,Inflow
XLV,Health Care,Sector,2026-03-19 00:00:00-04:00,146.61,16881699,2475.03,-7.173,-24.735,0.88,-2.36,-6.77,25,Strong Outflow
XLE,Energy,Sector,2026-03-19 00:00:00-04:00,59.36,69021175,4097.1,8.727,10.419,0.73,3.22,7.58,75,Strong Inflow
XLI,Industrials,Sector,2026-03-19 00:00:00-04:00,164.06,17985620,2950.72,-3.551,-8.639,0.88,-0.71,-6.96,40,Outflow
XLP,Consumer Staples,Sector,2026-03-19 00:00:00-04:00,81.97,18503135,1516.7,-1.951,-9.024,0.72,-2.71,-6.5,30,Outflow
XLY,Consumer Discretionary,Sector,2026-03-19 00:00:00-04:00,109.7,12485557,1369.67,-2.071,-7.049,0.78,-1.63,-5.63,30,Outflow
XLU,Utilities,Sector,2026-03-19 00:00:00-04:00,46.54,29501569,1373.0,-1.282,-1.157,0.9,0.09,0.93,50,Neutral
XLB,Materials,Sector,2026-03-19 00:00:00-04:00,47.74,23462363,1120.09,-1.36,-7.482,0.92,-3.9,-9.63,30,Outflow
XLRE,Real Estate,Sector,2026-03-19 00:00:00-04:00,41.92,9475203,397.2,0.295,0.864,0.82,-0.52,-2.96,50,Neutral
XLC,Communication Services,Sector,2026-03-19 00:00:00-04:00,113.14,10062826,1138.51,-1.457,-1.228,0.99,-1.85,-1.74,35,Outflow
ARKK,ARK Innovation,Thematic,2026-03-19 00:00:00-04:00,71.07,15542593,1104.61,-1.261,-2.012,1.06,0.61,-1.62,40,Outflow
TQQQ,NASDAQ 3x Bull,Leveraged,2026-03-19 00:00:00-04:00,45.69,136946999,6257.11,-10.165,-19.933,0.93,-2.43,-6.43,35,Outflow
SQQQ,NASDAQ 3x Bear,Leveraged,2026-03-19 00:00:00-04:00,75.91,65774880,4992.97,7.191,13.587,0.92,2.13,5.12,65,Inflow
EEM,Emerging Markets,International,2026-03-19 00:00:00-04:00,57.62,50571178,2913.91,1.63,-3.143,0.74,1.18,-5.6,50,Neutral
VEA,Developed Markets,International,2026-03-19 00:00:00-04:00,64.16,28745174,1844.29,-1.58,-2.037,0.84,-0.63,-6.73,40,Outflow
TLT,20+ Year Treasury,Bonds,2026-03-19 00:00:00-04:00,87.49,59987493,5248.31,3.187,-18.233,0.89,0.6,-2.05,50,Neutral
HYG,High Yield Corporate,Bonds,2026-03-19 00:00:00-04:00,79.66,102560096,8169.94,7.14,-36.147,1.0,0.39,-1.1,60,Inflow
GLD,Gold,Commodities,2026-03-19 00:00:00-04:00,426.41,30045015,12811.49,-34.017,-23.024,1.05,-8.67,-7.21,20,Strong Outflow
USO,Crude Oil,Commodities,2026-03-19 00:00:00-04:00,117.36,95563888,11215.38,1.616,44.434,1.35,-0.87,44.55,60,Inflow
